"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect02","Eect03","Eect04","Eect05","Eect06","Eect08","Eect09","Eect10","Eect11","Eect12","Eect13"
"1990","Aba Tibetan and Qiang Autonomous Prefecture","513200","City (Sub-provincial level)","510000","Sichuan (province)","76.6000","14.0000","16.0000","","","","","","","","",""
"1990","Ganzi Tibetan Autonomous Prefecture","513300","City (Sub-provincial level)","510000","Sichuan (province)","82.3000","12.1000","10.9000","","","","","","","","",""
"1990","Liangshan Yi Autonomous Prefecture","513400","City (Sub-provincial level)","510000","Sichuan (province)","360.7000","38.5000","16.1000","","","","","","","","",""
"1990","Ili Prefecture","654100","City (Sub-provincial level)","650000","Xinjiang Uygur Autonomous Region","180.0125","51.0636","16.9000","","","","","","","","",""
"1990","Chaohu (city)","341400","City (Sub-provincial level)","340000","Anhui (province)","422.3669","42.1533","","374.0000","","","","","","24.0405","36580.6000","1564.0000"
"1990","Huludao(city)","211400","City (Sub-provincial level)","210000","Liaoning (province)","252.8000","59.8000","9.6000","","","2.9545","","","","36.2500","74129.0000",""
"1990","Baishan(city)","220600","City (Sub-provincial level)","220000","Jilin (province)","124.4300","73.9100","20.0700","","55.6300","1.3174","","","","37.1100","72968.0000",""
"1990","Huaian(city)","320800","City (Sub-provincial level)","320000","Jiangsu (province)","","","","","333.9900","3.5301","","","","75.5900","130340.0000",""
"1990","Taizhou city","321200","City (Sub-provincial level)","320000","Jiangsu","","","","","","","","","","","",""
"1990","Suqian(city)","321300","City (Sub-provincial level)","320000","Jiangsu","","","","","","","","","","","",""
"1990","Jingzhou(city)","421000","City (Sub-provincial level)","420000","Hubei (province)","1094.3400","197.1000","","","","","","","","100.9000","169750.0000","1697.0000"
"1990","Huanggang(city)","421100","City (Sub-provincial level)","420000","Hubei (province)","657.7600","71.9000","","","","","","","","44.1300","67368.0000","1553.0000"
"1990","Shashi District","421002","City (Sub-provincial level)","420000","Hubei (province)","","","","","","0.4211","","","","17.1800","33816.0000","1970.0000"
"1990","Laibin(city)","451300","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","","","","","","1.9718","","","","","",""
