"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd"
"1990","Dandong(city)","210600","City (Sub-provincial level)","210000","Liaoning (province)","47.4900","","","","1596.0000","-7.1000","108800.0000","226300.0000","139800.0000"
"1990","Jinzhou","210700","City (Sub-provincial level)","210000","Liaoning (province)","57.8200","","","","1980.0000","9.9000","148300.0000","269800.0000","160100.0000"
"1990","Yingkou(city)","210800","City (Sub-provincial level)","210000","Liaoning (province)","39.1800","","","","1866.0000","-0.5000","98000.0000","196000.0000","97800.0000"
"1990","Fuxin(city)","210900","City (Sub-provincial level)","210000","Liaoning (province)","23.7900","","","","1305.0000","8.8000","62400.0000","109000.0000","66500.0000"
"1990","Liaoyang(city) ","211000","City (Sub-provincial level)","210000","Liaoning (province)","41.3800","","","","2416.0000","4.5000","87200.0000","253500.0000","73100.0000"
"1990","Panjin(city)","211100","City (Sub-provincial level)","210000","Liaoning (province)","41.8000","","","","3901.0000","-0.2000","69800.0000","287300.0000","60900.0000"
"1990","Tieling(city)","211200","City (Sub-provincial level)","210000","Liaoning (province)","56.5400","","","","1582.0000","10.9000","256800.0000","184100.0000","124500.0000"
"1990","Chaoyang (city)","211300","City (Sub-provincial level)","210000","Liaoning (province)","32.8800","","","","1032.0000","1.3000","113000.0000","138800.0000","77000.0000"
"1990","Huludao(city)","211400","City (Sub-provincial level)","210000","Liaoning (province)","40.8800","","","","1629.0000","7.2000","101300.0000","224400.0000","83100.0000"
"1990","Yin chuan(city)","640100","City (Sub-provincial level)","640000","Ningxia Hui Autonomous Region","20.8555","21.2000","40.6000","38.2000","","","44051.0000","84763.0000","79741.0000"
"1990","Shizuishan(city)","640200","City (Sub-provincial level)","640000","Ningxia Hui Autonomous Region","12.2194","15.8000","62.8000","21.4000","","","19264.0000","76743.0000","26187.0000"
"1990","Wuzhong(city)","640300","City (Sub-provincial level)","640000","Ningxia Hui Autonomous Region","19.6322","35.7000","39.9000","24.4000","","","70072.0000","78338.0000","47912.0000"
"1990","Gu Yuan(city)","640400","City (Sub-provincial level)","640000","Ningxia Hui Autonomous Region","6.0948","53.3000","14.6000","32.1000","","","32496.0000","8925.0000","19527.0000"
"1990","Hangzhou(city)","330100","City (Prefectural level)","330000","Zhejiang (province)","178.0300","","","","","","","",""
"1990","Ningbo(city)","330200","City (Prefectural level)","330000","Zhejiang (province)","141.4000","","","","","","","",""
"1990","Wenzhou(city)","330300","City (Sub-provincial level)","330000","Zhejiang (province)","77.9000","","","","","","","",""
"1990","Jiaxing(city)","330400","City (Sub-provincial level)","330000","Zhejiang (province)","81.3300","","","","","","","",""
"1990","Huzhou(city)","330500","City (Sub-provincial level)","330000","Zhejiang (province)","54.9900","","","","","","","",""
"1990","Shaoxing(city)","330600","City (Sub-provincial level)","330000","Zhejiang (province)","82.3800","","","","","","","",""
"1990","Jinhua(city)","330700","City (Sub-provincial level)","330000","Zhejiang (province)","67.7600","","","","","","","",""
"1990","Quzhou(city)","330800","City (Sub-provincial level)","330000","Zhejiang (province)","33.6500","","","","","","","",""
"1990","Zhoushan(city)","330900","City (Sub-provincial level)","330000","Zhejiang (province)","24.5700","","","","","","","",""
"1990","Lishui(city)","331100","City (Sub-provincial level)","330000","Zhejiang (province)","24.4500","","","","","","","",""
"1990","Xining(city)","630100","City (Sub-provincial level)","630000","Qinghai (province)","20.8571","","","","","","","",""
"1990","Haidong Prefecture","630200","City (Sub-provincial level)","630000","Qinghai (province)","12.8669","","","","","","","",""
"1990","Haibei Tibetan Autonomous Prefecture","632200","City (Sub-provincial level)","630000","Qinghai (province)","3.6078","","","","","","","",""
"1990","Yushu Tibetan Autonomous Prefecture","632700","City (Sub-provincial level)","630000","Qinghai (province)","1.7934","","","","","","","",""
"1990","Chongqing","500000","Municipality","500000","Chongqing (city)","327.7500","30.6000","41.4000","28.0000","1181.0000","7.0000","1004000.0000","1356200.0000","917300.0000"
"1990","Nanning(city)","450100","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","49.9698","22.3534","39.9840","37.6626","","","","",""
"1990","Liuzhou(city)","450200","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","41.0416","14.4250","53.1920","32.3830","","","","",""
"1990","Guilin(city)","450300","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","20.6067","19.9418","41.0480","38.9617","","","","",""
"1990","Wuzhou(city)","450400","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","13.7934","23.2777","37.2009","39.5939","","","","",""
"1990","Beihai(city)","450500","City (Sub-provincial level)","450000","Guangxi Zhuang Autonomous Region","17.4612","46.1054","27.1478","26.7468","","","","",""
"1990","Zheng zhou(city)","410100","City (Sub-provincial level)","410000","Henan (province)","106.3400","13.5000","58.8000","27.7000","1928.0000","","143800.0000","625500.0000","294100.0000"
"1990","Kaifeng(city) ","410200","City (Sub-provincial level)","410000","Henan (province)","44.1300","43.3000","31.7000","25.0000","1051.0000","","190900.0000","139800.0000","110600.0000"
"1990","Luoyang(city)","410300","City (Sub-provincial level)","410000","Henan (province)","72.9500","17.2000","54.5000","28.3000","1290.0000","","125600.0000","397200.0000","206700.0000"
"1990","Pingdingshan(city)","410400","City (Sub-provincial level)","410000","Henan (province)","66.1300","29.1000","52.4000","18.5000","1303.0000","","192200.0000","346800.0000","122300.0000"
"1990","Anyang(city)","410500","City (Sub-provincial level)","410000","Henan (province)","53.6500","33.9000","42.4000","23.7000","1135.0000","","181900.0000","227600.0000","127000.0000"
"1990","Hebi(city)","410600","City (Sub-provincial level)","410000","Henan (province)","13.0400","35.4000","39.3000","25.3000","1069.0000","","46100.0000","51300.0000","33000.0000"
