"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en.x","Gdpct01","Gdpct02","Gdpct03","Gdpct04","GDP_PerCapita","GDPYoY","GDP_PrimInd","GDP_SecInd","GDP_TerInd","Prvcnm_en.y","Pi0101","rel_cpi_2010","city_rgdp","city_rgdppc"
2000,"Guangzhou(city)",440100,"City (Prefectural level)",440000,"Guangdong (province)",2375.9129,4,43.4,52.6,NA,13.3,NA,NA,NA,"Guangdong",101.4,85.9051448609882,2765.73993774727,NA
2000,"Shaoguan(city)",440200,"City (Sub-provincial level)",440000,"Guangdong (province)",201.53,24.1,43.5,32.3,NA,2.4,NA,NA,NA,"Guangdong",101.4,85.9051448609882,234.59596084276,NA
2000,"Shenzhen",440300,"City (Prefectural level)",440000,"Guangdong (province)",1665.2406,1.1,52.5,46.4,NA,14.8,NA,NA,NA,"Guangdong",101.4,85.9051448609882,1938.46434075013,NA
2000,"Zhuhai",440400,"City (Sub-provincial level)",440000,"Guangdong (province)",330.2555,4.2,55.5,40.3,NA,11.8,NA,NA,NA,"Guangdong",101.4,85.9051448609882,384.442050047666,NA
2000,"Shantou",440500,"City (Sub-provincial level)",440000,"Guangdong (province)",476.9769,9.9,48.1,41.9,NA,7,NA,NA,NA,"Guangdong",101.4,85.9051448609882,555.236709945422,NA
2000,"Foshan(city)",440600,"City (Sub-provincial level)",440000,"Guangdong (province)",957.2042,6.9,52.8,40.3,NA,11.2,NA,NA,NA,"Guangdong",101.4,85.9051448609882,1114.25712807882,NA
2000,"Jiangmen(city)",440700,"City (Sub-provincial level)",440000,"Guangdong (province)",567.5106,12,47.6,40.4,NA,15.3,NA,NA,NA,"Guangdong",101.4,85.9051448609882,660.624693571434,NA
2000,"Zhan jiang(city)",440800,"City (Sub-provincial level)",440000,"Guangdong (province)",407.9212,26.6,38,35.4,NA,4.9,NA,NA,NA,"Guangdong",101.4,85.9051448609882,474.850721292768,NA
2000,"Maoming(city)",440900,"City (Sub-provincial level)",440000,"Guangdong (province)",491.0888,28.4,38.3,33.3,NA,3.3,NA,NA,NA,"Guangdong",101.4,85.9051448609882,571.664014762655,NA
2000,"Zhaoqing(city)",441200,"City (Sub-provincial level)",440000,"Guangdong (province)",383.3994,28.8,35.9,35.2,NA,12.7,NA,NA,NA,"Guangdong",101.4,85.9051448609882,446.305515950665,NA
2000,"Huizhou(city)",441300,"City (Sub-provincial level)",440000,"Guangdong (province)",440.345,14.8,58,27.2,NA,12.3,NA,NA,NA,"Guangdong",101.4,85.9051448609882,512.594444386965,NA
2000,"Meizhou(city)",441400,"City (Sub-provincial level)",440000,"Guangdong (province)",175.9238,31.8,35.9,32.2,NA,7.6,NA,NA,NA,"Guangdong",101.4,85.9051448609882,204.78843296834,NA
2000,"Shanwei(city)",441500,"City (Sub-provincial level)",440000,"Guangdong (province)",144.6309,32.3,29.7,38,NA,5.8,NA,NA,NA,"Guangdong",101.4,85.9051448609882,168.361161876907,NA
2000,"Heyuan(city)",441600,"City (Sub-provincial level)",440000,"Guangdong (province)",91.3416,37.2,26.5,36.3,NA,11.3,NA,NA,NA,"Guangdong",101.4,85.9051448609882,106.32843952223,NA
2000,"Yangjiang(city)",441700,"City (Sub-provincial level)",440000,"Guangdong (province)",169.5018,38.4,31.7,29.9,NA,10.2,NA,NA,NA,"Guangdong",101.4,85.9051448609882,197.312745673484,NA
2000,"Qingyuan(city)",441800,"City (Sub-provincial level)",440000,"Guangdong (province)",155.2273,40.6,31.9,27.6,NA,7.7,NA,NA,NA,"Guangdong",101.4,85.9051448609882,180.696162320882,NA
2000,"Dongguan(city)",441900,"City (Sub-provincial level)",440000,"Guangdong (province)",489.7332,6.3,54.9,38.8,NA,17.9,NA,NA,NA,"Guangdong",101.4,85.9051448609882,570.085995189795,NA
2000,"Zhongshan(city)",442000,"City (Sub-provincial level)",440000,"Guangdong (province)",312.8236,7.8,54.5,37.7,NA,11.8,NA,NA,NA,"Guangdong",101.4,85.9051448609882,364.150017447979,NA
2000,"Chaozhou(city)",445100,"City (Sub-provincial level)",440000,"Guangdong (province)",198.1205,19.8,45.9,34.3,NA,7.7,NA,NA,NA,"Guangdong",101.4,85.9051448609882,230.627048380628,NA
2000,"Jieyang(city)",445200,"City (Sub-provincial level)",440000,"Guangdong (province)",389.3852,20,49.7,30.3,NA,-0.2,NA,NA,NA,"Guangdong",101.4,85.9051448609882,453.273433890489,NA
2000,"Yunfu(city)",445300,"City (Sub-provincial level)",440000,"Guangdong (province)",169.3674,33.9,35.7,30.4,NA,-1.8,NA,NA,NA,"Guangdong",101.4,85.9051448609882,197.156294042773,NA
2000,"Haikou(city)",460100,"City (Sub-provincial level)",460000,"Hainan (province)",133.6153,2.4,25.9,71.7,23919,10.2,31885,346609,957659,"Hainan",101.1,81.0203310069955,164.915766622162,29522.2195499729
2000,"Sanya(city)",460200,"City (Sub-provincial level)",460000,"Hainan (province)",29.5398,43.2,20.9,35.9,6302,11.1,127712,61676,106010,"Hainan",101.1,81.0203310069955,36.4597374916297,7778.29456097367
