province,province_id,city,city_id,year,urban_anpp,agriculture_anpp,overall_anpp
贵州省,520000,铜仁市,520600,2001,409.21428571428584,667.5995910941909,711.6395866320192
贵州省,520000,遵义市,520300,2001,424.91770833333345,647.4320424684257,698.2472718101375
海南省,460000,儋州市,460400,2001,437.0700000000001,611.1441681413404,750.3612235165579
海南省,460000,海口市,460100,2001,437.3446839311566,622.4438473507671,744.1872495365703
海南省,460000,三沙市,460300,2001,0,0,524.7006857142859
海南省,460000,三亚市,460200,2001,634.4179487179488,776.3951174456752,966.3248204868935
河北省,130000,保定市,130600,2001,198.36034444695795,237.02332265584923,238.3228239554824
河北省,130000,沧州市,130900,2001,154.57166217736363,199.33367467626456,198.29980965009108
河北省,130000,承德市,130800,2001,226.43854166666662,319.03876649198605,307.2506624930508
河北省,130000,邯郸市,130400,2001,175.15032845749184,214.24097682155278,213.94115317640282
