province,province_id,city,city_id,year,urban_midlight,agriculture_midlight,total_midlight
江西省,360000,宜春市,360900,2001,0.0,0.0,0.0
江西省,360000,鹰潭市,360600,2001,0.0,0.0,0.0
辽宁省,210000,鞍山市,210300,2001,1.745558326635163,0.0,0.0
辽宁省,210000,本溪市,210500,2001,1.7126038927930263,0.0,0.0
辽宁省,210000,朝阳市,211300,2001,1.1138551859883605,0.0,0.0
辽宁省,210000,大连市,210200,2001,2.4765244362821783,0.0,0.0
辽宁省,210000,丹东市,210600,2001,1.474342396579931,0.0,0.0
辽宁省,210000,抚顺市,210400,2001,2.2568479705212723,0.0,0.0
辽宁省,210000,阜新市,210900,2001,1.7386383155606828,0.0,0.0
辽宁省,210000,葫芦岛市,211400,2001,0.0,0.0,0.0
辽宁省,210000,锦州市,210700,2001,0.0,0.0,0.0
辽宁省,210000,辽阳市,211000,2001,1.234579929322348,0.0,0.0
辽宁省,210000,盘锦市,211100,2001,1.2399003311885841,0.0,0.0
辽宁省,210000,沈阳市,210100,2001,2.458088632647911,0.0,0.0
辽宁省,210000,铁岭市,211200,2001,0.0,0.0,0.0
辽宁省,210000,营口市,210800,2001,1.490286659094717,0.0,0.0
青海省,630000,海东市,630200,2001,0.0,0.0,0.0
青海省,630000,西宁市,630100,2001,0.0,0.0,0.0
山东省,370000,滨州市,371600,2001,0.0,0.0,0.0
山东省,370000,德州市,371400,2001,1.3699608587083363,0.0,0.0
山东省,370000,东营市,370500,2001,1.2501761486685692,0.0,0.0
山东省,370000,菏泽市,371700,2001,0.0,0.0,0.0
山东省,370000,济南市,370100,2001,1.7465257287964107,0.0,0.0
山东省,370000,济宁市,370800,2001,0.0,0.0,0.0
山东省,370000,聊城市,371500,2001,0.0,0.0,0.0
山东省,370000,临沂市,371300,2001,0.0,0.0,0.0
山东省,370000,青岛市,370200,2001,1.7470161988982473,0.0,0.0
山东省,370000,日照市,371100,2001,0.0,0.0,0.0
山东省,370000,泰安市,370900,2001,0.0,0.0,0.0
山东省,370000,威海市,371000,2001,3.2706575715864026,0.0,0.0
山东省,370000,潍坊市,370700,2001,0.0,0.0,0.0
山东省,370000,烟台市,370600,2001,0.0,0.0,0.0
山东省,370000,枣庄市,370400,2001,0.0,0.0,0.0
山东省,370000,淄博市,370300,2001,1.2182405386469073,0.0,0.0
山西省,140000,大同市,140200,2001,1.7379700063299317,0.0,0.0
山西省,140000,晋城市,140500,2001,1.3652258382903204,0.0,0.0
山西省,140000,晋中市,140700,2001,0.0,0.0,0.0
山西省,140000,临汾市,141000,2001,0.0,0.0,0.0
山西省,140000,吕梁市,141100,2001,0.0,0.0,0.0
山西省,140000,朔州市,140600,2001,1.236461473138709,0.0,0.0
山西省,140000,太原市,140100,2001,1.2214546938838002,0.0,0.0
山西省,140000,忻州市,140900,2001,0.0,0.0,0.0
山西省,140000,阳泉市,140300,2001,0.0,0.0,0.0
山西省,140000,运城市,140800,2001,0.0,0.0,0.0
山西省,140000,长治市,140400,2001,2.1242082715034485,0.0,0.0
陕西省,610000,安康市,610900,2001,0.0,0.0,0.0
陕西省,610000,宝鸡市,610300,2001,0.0,0.0,0.0
陕西省,610000,汉中市,610700,2001,0.0,0.0,0.0
陕西省,610000,商洛市,611000,2001,0.0,0.0,0.0
陕西省,610000,铜川市,610200,2001,0.0,0.0,0.0
陕西省,610000,渭南市,610500,2001,0.0,0.0,0.0
陕西省,610000,西安市,610100,2001,1.7488091825797625,0.0,0.0
陕西省,610000,咸阳市,610400,2001,0.0,0.0,0.0
陕西省,610000,延安市,610600,2001,2.7862977981567383,0.0,0.0
陕西省,610000,榆林市,610800,2001,1.2364479546902527,0.0,0.0
四川省,510000,巴中市,511900,2001,0.0,0.0,0.0
四川省,510000,成都市,510100,2001,1.7545822998050784,0.0,0.0
四川省,510000,达州市,511700,2001,0.0,0.0,0.0
四川省,510000,德阳市,510600,2001,0.0,0.0,0.0
四川省,510000,广安市,511600,2001,0.0,0.0,0.0
四川省,510000,广元市,510800,2001,0.0,0.0,0.0
四川省,510000,乐山市,511100,2001,0.0,0.0,0.0
四川省,510000,泸州市,510500,2001,0.0,0.0,0.0
四川省,510000,眉山市,511400,2001,0.0,0.0,0.0
四川省,510000,绵阳市,510700,2001,1.3860193300247192,0.0,0.0
四川省,510000,南充市,511300,2001,0.0,0.0,0.0
四川省,510000,内江市,511000,2001,0.0,0.0,0.0
四川省,510000,攀枝花市,510400,2001,3.331625526601618,0.0,0.0
四川省,510000,遂宁市,510900,2001,0.0,0.0,0.0
四川省,510000,雅安市,511800,2001,0.0,0.0,0.0
四川省,510000,宜宾市,511500,2001,0.0,0.0,0.0
四川省,510000,资阳市,512000,2001,0.0,0.0,0.0
四川省,510000,自贡市,510300,2001,0.0,0.0,0.0
