province,province_id,city,city_id,year,urban_sol,agriculture_sol,total_sol
贵州省,520000,六盘水市,520200,2001,315.6483932602639,34.97992730140686,697.706288334435
贵州省,520000,铜仁市,520600,2001,115.87537026405334,40.092824264133675,324.131945772732
贵州省,520000,遵义市,520300,2001,930.9010714292526,136.31432628631592,1510.8918029093275
海南省,460000,儋州市,460400,2001,523.1466361284256,33.96180438995361,659.0722422599792
海南省,460000,海口市,460100,2001,5316.896203110265,112.8246620570912,6289.8274013986775
海南省,460000,三沙市,460300,2001,0.0,0.0,0.0
海南省,460000,三亚市,460200,2001,1687.933473110199,308.38588893413544,2346.6714341640472
河北省,130000,保定市,130600,2001,18396.289203215114,1066.9023232460022,19491.829226541988
河北省,130000,沧州市,130900,2001,12000.48556497471,2735.0008577744165,14762.337165446843
河北省,130000,承德市,130800,2001,2271.151060938835,873.1369178295135,3329.2134243249893
