country,province,city,id,year,urban_anpp,agriculture_anpp,overall_anpp
China,Gansu Sheng,Baiyin,13017,2001,98.18157894736842,127.84550210730245,125.02570864010174
China,Gansu Sheng,Tianshui,13018,2001,316.45507246376815,362.8465936926597,404.5440275071876
China,Gansu Sheng,Jiuquan,13019,2001,0,106.22382569367849,98.41538773316891
China,Gansu Sheng,Zhangye,13020,2001,0,164.94748810214003,152.39886495425415
China,Gansu Sheng,Wuwei,13021,2001,172.55833333333334,218.877452062076,216.77019440376364
China,Gansu Sheng,Dingxi,13022,2001,249.28000000000006,300.3977489805871,302.43812955225314
China,Gansu Sheng,Longnan,13023,2001,319.4302325581395,469.83944110563965,539.438508014934
China,Gansu Sheng,Pingliang,13024,2001,220.25555555555556,320.3291127187608,323.1213164823805
China,Gansu Sheng,Qingyang,13025,2001,192.27741935483868,201.4626187078992,204.5488646072264
China,Gansu Sheng,Linxia Hui,13026,2001,220.82857142857142,282.60236946089196,284.1173904923306
China,Gansu Sheng,Gannan Tibetan,13027,2001,0,352.64240746778813,386.4323257376939
China,Guangdong Sheng,Guangzhou,13028,2001,363.31081835059126,517.6661781720015,823.2900205325955
China,Guangdong Sheng,Shaoguan,13029,2001,413.8933333333333,668.0019326242057,936.9317545677632
China,Guangdong Sheng,Shenzhen,13030,2001,399.8851990197488,624.4992744269734,812.0589583712065
China,Guangdong Sheng,Zhuhai,13031,2001,385.37412715674674,498.66521777802114,536.5802964340306
China,Guangdong Sheng,Shantou,13032,2001,609.1890029952931,713.4374966309515,827.9117505571536
China,Guangdong Sheng,Foshan,13033,2001,263.3643609945914,357.87583812113223,492.11803438081745
China,Guangdong Sheng,Jiangmen,13034,2001,365.2196288918401,596.3293263182258,779.9156137688467
China,Guangdong Sheng,Maoming,13036,2001,466.36231660959453,659.8912427043065,848.6862075252654
China,Guangdong Sheng,Zhaoqing,13037,2001,365.3668854778798,602.723955907969,1075.2876872271622
China,Guangdong Sheng,Huizhou,13038,2001,446.5660085546389,637.624987147823,1054.6730427885275
China,Guangdong Sheng,Meizhou,13039,2001,493.42065675615714,734.8240683659686,1132.133984256879
