province,city,id,year,urban_sol,agriculture_sol,total_sol
Fujian Sheng,Putian,13007,2001,3204.7980124599794,117.07828056812286,3502.5617924419103
Fujian Sheng,Sanming,13008,2001,1931.726010799408,10.730404496192932,2743.134412708002
Fujian Sheng,Quanzhou,13009,2001,23292.46981994919,1171.8188879882587,26185.49603128153
Fujian Sheng,Zhangzhou,13010,2001,5586.009035840221,226.08084058761597,6284.26147239068
Fujian Sheng,Nanping,13011,2001,1263.01307117939,3.115664482116699,1807.2333242276136
Fujian Sheng,Longyan,13012,2001,2951.0071917772293,69.31751263141632,3621.3192944526672
Fujian Sheng,Ningde,13013,2001,1246.9027657116162,34.258588433265686,1736.5510251550113
Gansu Sheng,Lanzhou,13014,2001,17915.30324026276,2111.1306042325264,20057.41004156599
Gansu Sheng,Jiayuguan,13015,2001,4137.500494837761,92.04150521755219,5986.137442946434
Gansu Sheng,Jinchang,13016,2001,1587.2179802656174,76.89122533798218,1771.6708179712296
Gansu Sheng,Baiyin,13017,2001,2297.382736325264,483.4864909354378,2935.9997857070434
Gansu Sheng,Tianshui,13018,2001,1411.2948560191135,197.21585309505463,1655.301826498555
Gansu Sheng,Jiuquan,13019,2001,1925.230537056923,360.36326789855957,5101.398957490921
Gansu Sheng,Zhangye,13020,2001,377.49907886981964,319.22822403907776,850.9751204252243
Gansu Sheng,Wuwei,13021,2001,759.1802097558975,309.2070064544678,1094.8134329319
Gansu Sheng,Dingxi,13022,2001,492.0421476364136,201.17592585086823,693.2180734872818
Gansu Sheng,Longnan,13023,2001,184.6643682718277,107.94311535358429,339.52910461986767
Gansu Sheng,Pingliang,13024,2001,500.93396551796036,398.1901812497307,941.550307580069
Gansu Sheng,Qingyang,13025,2001,445.2612466812134,1358.9156455993652,1805.5089962482452
Gansu Sheng,Linxia Hui,13026,2001,290.27438485622406,118.91786479949951,415.85065174102783
Gansu Sheng,Gannan Tibetan,13027,2001,81.61240220069885,245.132185625095,346.3568505516239
Guangdong Sheng,Guangzhou,13028,2001,90985.07878644933,1770.9298603857264,103675.47242530747
Guangdong Sheng,Shaoguan,13029,2001,2670.3935372829437,112.4672677264494,3679.4274929481394
Guangdong Sheng,Shenzhen,13030,2001,103770.48680971745,2988.821180749874,117190.90926197838
Guangdong Sheng,Zhuhai,13031,2001,8606.94925349086,200.09881870325876,11686.45929300972
Guangdong Sheng,Shantou,13032,2001,19565.4821659004,87.54580397559147,20861.555184874815
Guangdong Sheng,Foshan,13033,2001,72403.93595305936,1190.0243447439345,84942.20825860828
Guangdong Sheng,Jiangmen,13034,2001,13174.948425349068,445.6008730107663,17073.9771777153
Guangdong Sheng,Maoming,13036,2001,5420.69065489021,219.67131545730666,5932.877804039038
Guangdong Sheng,Zhaoqing,13037,2001,2367.9617094404557,85.3943190574646,3435.4413564644606
Guangdong Sheng,Huizhou,13038,2001,9033.44560444355,926.262706156338,12462.871365330266
Guangdong Sheng,Meizhou,13039,2001,3636.707682609558,92.70586585998535,4021.8608276844025
Guangdong Sheng,Shanwei,13040,2001,2010.4643014435674,164.36635637283325,2567.801551514981
