city,year,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,10+12+14
Laibin,2001,13059,56.24048926,2868.138409,,23.0826643,492.883924,,,8514.624152,8384.440656,325.8649022,3.505223626,3636.714639,190.6239895,2140.300693,,,30.37665432,6102.880235
Hezhou,2001,13060,17.70748934,3223.412934,,3.619053,306.7258491,,,4351.616202,2440.838855,434.9911806,6.139691675,727.6161254,110.5583636,79.71960815,,5.425182313,20.55658138,1242.326914
Baise,2001,13061,0.456447063,1384.869989,,139.4157831,1378.118321,,,19545.07113,12146.84148,507.2759596,3.864028266,637.6413727,89.12921355,183.151226,,1.808984094,18.96229277,1328.068558
Hechi,2001,13062,7.788066033,1990.384816,,46.89507991,134.708853,,,20750.70797,8731.845553,577.4015606,21.80439256,343.7287507,71.38772257,340.77621,,,0.908644781,1261.906521
Guiyang,2001,13063,2.219237859,43.310649,,48.50563856,58.6250089,,,1753.931777,4088.419644,32.73730536,8.777130465,91.15814127,200.75893,1366.954655,,0.668226375,4.270715034,1490.850101
Liupanshui,2001,13064,11.75524404,7.381126586,,75.90366269,53.94282064,,,25.03432597,7988.38985,24.13117593,,187.3158616,60.20661079,1319.931343,,,,1531.378381
Zunyi,2001,13065,65.66785314,156.4197587,,386.7488037,2262.816301,,,14840.01766,9496.813008,17.00052108,,140.9434787,94.55802389,3612.718372,,,,3770.662372
Tongren,2001,13066,22.91183775,27.74503228,,174.636331,1030.648971,,,8351.725352,7117.660587,65.45041757,,52.07049065,54.74581238,633.1015112,,,,750.6224194
Qianxinan Buyei and Miao,2001,13067,1.573497359,46.03643593,,45.97446172,78.44239945,,,1443.155737,12003.92573,639.795683,2.032230813,1120.270387,53.3529158,1651.973687,,,2.565203589,3412.039758
Bijie,2001,13068,11.04077402,7.993195484,,368.1128476,191.0108579,1.110743125,,2458.813795,11822.14862,567.8489802,2.887516906,5029.20281,64.26121157,6178.910887,,,15.99594777,11775.96268
Anshun,2001,13069,,23.15880108,,6.661344537,11.38175584,,,89.10386433,5091.776233,217.7121289,0.131108355,1255.02456,85.61418555,2104.692104,,,0.407334033,3577.428794
Qiandongnan Miao and Dong,2001,13070,14.67541827,588.7260017,,659.9456725,3051.293356,,,22761.74314,2527.552107,240.2670585,0.887723297,158.1987533,64.93023741,21.350151,,,,419.8159628
Qiannan Buyei and Miao,2001,13071,3.118455228,530.8078439,,204.3296518,287.6253131,,,11631.75634,11782.0703,507.9130113,,481.614294,70.28614806,549.2846039,,,,1538.811909
Shijiazhuang,2001,13075,,,,100.9617343,53.63137894,108.541363,,60.25819364,903.255387,2597.711086,11.35808455,9089.866912,1484.686504,,,7.438878344,27.81484838,11687.578
Tangshan,2001,13076,,,,33.38184717,3.058524906,25.31666679,,28.47385526,60.36779377,784.4035555,102.8160906,9971.043251,1293.908905,,,81.96868174,669.5462314,10755.44681
Qinhuangdao,2001,13077,,,,250.2615782,6.307695219,49.47668793,,10.49427022,86.71303524,625.6697365,12.05009247,6852.179734,420.5133884,,,10.78923964,74.46953344,7477.84947
Handan,2001,13078,,,,10.8755479,15.30059544,78.85646767,,13.61253444,383.9872198,1427.684314,6.429031422,8718.854823,1488.207424,,,2.412777406,22.91520194,10146.53914
Xingtai,2001,13079,,,,138.8090491,16.89134824,57.55294422,,11.88287405,82.8994954,1213.523916,5.977238297,10212.22909,704.3753149,0.198895016,,0.793562891,,11425.9519
Baoding,2001,13080,,,,156.4535622,8.277102457,424.0873012,,73.73106271,470.8062622,5508.598353,18.47563145,13474.68774,1917.867085,,,3.504762141,53.83030003,18983.2861
Zhangjiakou,2001,13081,,,,390.4865612,29.09743044,361.9991276,,69.22591266,73.36316375,32718.76981,9.132578662,2769.352824,402.0771213,,,66.52296814,64.37041473,35488.12263
Cangzhou,2001,13083,,,,,,,,,,538.8375429,2.939059969,12274.61636,545.3915357,,,131.869521,472.1556798,12813.4539
Langfang,2001,13084,,,,,,,,,,18.80623915,,5611.270423,498.8899247,,,,,5630.076662
Hengshui,2001,13085,,,,,,,,,,5.339482172,5.337457906,8165.076703,569.5359047,,,,36.77450277,8170.416185
Zhengzhou,2001,13099,,,,38.64417595,23.22531128,,,1.231302219,328.2017618,391.8646414,0.2058765,5803.021497,871.4109789,20.63439727,,11.35595408,50.60239452,6215.520535
Kaifeng,2001,13100,,,,,,,,,1.227544318,43.03215454,,5542.693398,364.1274856,,,,13.13371207,5585.725553
Luoyang,2001,13101,,,,3322.985769,94.84488286,,,1782.112748,1024.698648,845.5063072,28.9669949,7354.033794,468.7285324,53.74283191,,4.635273038,35.81603179,8253.282934
Pingdingshan,2001,13102,,,,400.5877835,0.751694561,,,349.7032595,399.6498653,348.866521,21.78785852,5461.26454,548.2177748,89.4844249,,4.56527925,45.63621813,5899.615486
Anyang,2001,13103,,,,7.425488748,22.5562327,3.721969207,,27.32803676,471.2706608,312.2489174,1.210047125,5722.481861,717.6917051,3.17690437,,,0.80608725,6037.907683
Hebi,2001,13104,,,,0.348592871,2.272655545,,,0.006351263,17.07356946,161.5291527,0.404116953,1941.16296,155.3244024,0.857551755,,,,2103.549664
Xinxiang,2001,13105,,,,65.07019436,66.28171705,0.404578438,,237.6693075,209.5297677,460.0128465,,6776.854675,697.7816658,,,3.53928669,51.10136331,7236.867521
Jiaozuo,2001,13106,,,,264.8019463,150.1310582,,,229.9403521,1017.405776,290.3166168,12.41380187,3369.961899,693.7417052,53.27457689,,8.040592703,10.39046188,3713.553092
Puyang,2001,13107,,,,,,,,,,21.23720351,,3881.314741,361.7396008,,,,24.71837294,3902.551944
Xuchang,2001,13108,,,,6.182786359,,,,,108.5734678,20.01232271,0.823614281,4747.449866,359.3066779,33.77440108,,0.205908984,2.359807674,4801.23659
Luohe,2001,13109,,,,,,,,,20.89702044,,,2344.098907,414.6219777,,,,0.415303328,2344.098907
Sanmenxia,2001,13110,0.206341094,,,1818.079274,245.0231642,,,1237.206113,2231.702922,1064.504361,0.204094047,2997.2942,200.4600899,250.1360472,,2.528552451,4.694979688,4311.934608
Nanyang,2001,13111,,,,3537.682413,54.22086906,,,2570.509665,2006.36617,1032.913948,30.814405,15948.72322,863.8963348,189.0856913,,20.79410503,138.0891196,17170.72286
Shangqiu,2001,13112,,,,,,,,,39.46997416,3.487808859,2.461611141,10023.51428,402.0619186,3.713219938,,,14.98588927,10030.71531
Xinyang,2001,13113,0.211659922,,,460.3526886,371.1451354,,,2820.730979,2110.174174,113.7852956,56.98962527,11829.6679,248.827695,1404.812243,,,128.6717903,13348.26544
Zhoukou,2001,13114,,,,,,,,,54.35328205,,0.622130656,11255.40012,532.9216009,4.380254542,,,3.732132531,11259.78038
Zhumadian,2001,13115,,,,177.7188201,1.675703188,,,89.32362771,98.68398672,235.0091393,18.94709645,13892.23149,451.5961788,40.82369162,,12.34261528,119.9883229,14168.06432
Wuhan,2001,13117,0.36968937,,,12.13024898,33.78413433,,,164.8726584,3127.495644,203.7135895,427.2171151,2308.972846,786.4122906,770.5023891,,16.71725721,748.4403584,3283.188825
Huangshi,2001,13118,,,,0.6473455,92.48147661,,,980.7260017,1923.205814,36.13078421,133.8228138,362.2116795,194.9328387,461.4012383,,4.07263681,316.5022764,859.743702
Shiyan,2001,13119,,,,5962.656233,1981.825822,,,11546.28893,3379.647153,173.4068163,73.62667933,328.822993,175.3122428,267.43393,,9.151531715,87.14737106,769.6637393
Yichang,2001,13120,1.508745875,,,1951.970197,1662.79614,,,13290.99807,1726.009979,141.4054744,67.7356914,1193.37265,183.8404313,916.5692315,,14.89260658,153.7567115,2251.347356
Xiangfan,2001,13121,,,,1072.221776,1063.072586,,,6589.095565,2503.505221,220.3257584,35.63112063,6435.488463,540.9242343,1020.268443,,1.056653516,156.3189809,7676.082664
Ezhou,2001,13122,,,,,2.354165233,,,13.67639686,579.3825973,64.51191167,126.7112503,367.9337393,76.32413556,147.8392532,,4.771625404,260.2147199,580.2849041
Jingmen,2001,13123,,,,276.7620289,477.4703584,,,2217.405167,2300.681926,16.61288691,76.83881706,4885.428381,225.0655067,1635.774164,,0.426731188,262.3308954,6537.815432
Xiaogan,2001,13124,0.268566286,,,204.1060181,138.4652445,,,1125.214331,1719.649549,246.5351926,123.6599431,6922.971819,211.8553676,666.9293453,,,142.9591155,7836.436356
Jingzhou,2001,13125,,,,0.161555501,0.862929531,,,329.5766645,2528.619917,59.31108686,835.3727654,6966.729775,249.5226436,2217.313722,,11.90883388,1004.754191,9243.354584
Huanggang,2001,13126,5.997105,,,216.9625882,419.7478608,,,4801.49474,4246.852034,82.75831268,109.7914628,3302.934811,212.3869398,3136.369839,,2.620667088,405.5775474,6522.062962
Xianning,2001,13127,23.91953473,5.421698391,,42.056244,716.6111754,,,4160.130338,2148.136697,22.56551315,136.8554995,611.3435261,130.1082817,1466.513655,,2.890623738,388.519865,2100.422694
Enshi Tujia and Miao,2001,13128,13.54818386,6.265230953,,871.553904,2543.706915,,,19863.48035,386.2245452,195.7290055,3.970396086,162.0467002,42.03240517,81.74911474,,,2.989501609,439.5248204
Shennongjia,2001,13129,,,,1738.094013,1612.21264,,,2290.885835,2883.558896,300.9646497,134.1284611,6436.994967,252.8560129,1526.62016,,0.211831781,102.9344404,8264.579776
Changsha,2001,13130,204.0503959,594.696488,,10.34483718,785.7537356,,,2951.526362,5245.079463,130.519425,22.69780064,415.4799085,483.5594518,378.0314725,,3.071534281,50.63538626,924.030806
Zhuzhou,2001,13131,348.2216132,588.6479691,,18.93549908,2213.28454,,,4282.832455,3296.247587,44.43853913,20.09496308,185.7136499,187.9541059,173.4957709,,1.321631625,41.86782151,403.64796
Xiangtan,2001,13132,0.464590746,32.23679271,,1.541636719,60.91072867,,,562.6325758,3548.383074,54.35769723,13.79361318,174.6702729,141.8600387,256.3920217,,0.440555922,36.20589735,485.4199918
Hengyang,2001,13133,95.30016934,317.9429631,,6.69007435,403.2273619,,,2054.995629,8373.845267,12.10198582,9.756255172,256.6263469,190.3546845,3130.455608,,,88.33611343,3399.183941
Shaoyang,2001,13134,262.7422171,502.6885345,,411.0059253,3034.827441,,,6548.153154,4207.171716,140.1000947,1.337688094,707.8800018,290.5975017,4365.503062,,,,5213.483159
Yueyang,2001,13135,258.7098623,267.0399735,,17.54270375,1023.539943,,,3587.101488,4737.557976,379.7632359,226.3538626,1932.058191,197.6648617,1710.726359,,4.118037484,1462.797643,4022.547786
Changde,2001,13136,104.3193095,8.930373109,,162.1872619,997.2633647,,,5955.951206,4581.441656,78.45487217,165.1714604,2055.927209,169.2677557,3799.689016,,1.740495406,399.3692412,5934.071096
Zhangjiajie,2001,13137,6.336630238,4.543756797,,227.2271356,1018.019832,,,7079.015962,1030.408971,37.55649287,6.075542766,82.87844008,23.69346573,75.5912252,,0.216998953,10.26064009,196.0261581
Yiyang,2001,13138,85.38554616,5.256967156,,102.909196,1075.090335,,,4904.89645,2143.047462,198.3185503,154.5789132,1701.552752,132.1709992,1019.05136,,1.526443891,492.3980878,2918.922662
Chenzhou,2001,13139,336.9589892,1205.891689,,57.95530575,2681.21616,,,7884.801841,5571.304732,83.80754995,42.34470569,220.2111749,138.5158965,637.5895414,,1.344101641,65.64504686,941.6082662
Yongzhou,2001,13140,344.7665709,2611.954493,,118.8629519,3274.356208,,,3635.429817,9569.448769,125.6081108,3.138905984,430.6829824,143.6496447,1676.273497,,0.447471188,6.669815833,2232.564591
Huaihua,2001,13141,32.65386529,327.9231044,,445.2717954,3423.269641,,,19675.7832,2375.543774,219.5192864,28.60983652,361.2623862,223.779369,169.9785243,,0.219007031,13.56261499,750.760197
Loudi,2001,13142,45.15933918,51.15109685,,55.81148405,496.9731124,,,2158.548035,2294.943883,8.855144257,8.797655943,210.7512912,215.0929109,2489.313709,,,1.647711887,2708.920144
Xiangxi Tujia and Miao,2001,13143,1.095057719,5.313636662,,125.2368832,952.9653255,,,12393.08086,1666.571273,65.87001391,4.0136347,122.3769598,48.22105941,455.1736267,,,0.438749625,643.4206004
Nanjing,2001,13144,,,,16.58633582,31.88425231,,,1.843393155,1658.119359,52.36340639,250.1951553,2363.82874,821.8374907,1165.043174,,10.61808888,377.1005743,3581.235321
Wuxi,2001,13145,0.424584438,,,,67.78145682,,,48.83058951,1454.058497,18.35061472,115.9844175,755.9151834,1020.673279,241.9315286,,3.390674766,884.3491026,1016.197327
Xuzhou,2001,13146,,,,,,,,,611.3722043,84.84294166,38.69649352,9262.365054,864.8323681,87.67893944,,,94.44708997,9434.886935
Changzhou,2001,13147,,,,0.212144188,13.28319536,,,16.30068896,1660.92914,6.792905891,119.7738529,677.0364425,712.1368164,905.8947866,,0.634351516,289.6771486,1589.724135
Suzhou,2001,13148,0.424288375,,0.213073844,,10.23256969,,0.639022734,0.638992891,2049.633451,36.4266143,697.624503,1115.617122,1597.381103,187.5002269,,4.261009813,1265.186335,1339.543964
Nantong,2001,13149,,,,,,,,,243.2181974,21.83816356,23.51573439,7411.518369,383.8096939,137.7252669,,10.71205275,79.64864315,7571.081799
Lianyungang,2001,13150,,,,21.94415027,,,,0.820842672,295.8640201,47.84145759,59.52963953,5829.2708,388.2883754,111.3815044,,42.04172869,538.2827871,5988.493762
Huai'an,2001,13151,,,,4.048157378,,,,5.531793309,791.0577327,56.12586417,297.6608552,6686.173459,472.5084554,376.5038338,,3.756090438,1147.370828,7118.803157
Yancheng,2001,13152,,,,,,,,,613.6755946,90.04282083,203.0217883,12125.44037,352.7298422,179.3953656,,118.861994,507.7202774,12394.87856
Yangzhou,2001,13153,,,,,,,,,1301.026282,41.76964997,240.1262222,3773.86912,389.7531657,592.0158092,,2.739585755,597.6987051,4407.654579
Zhenjiang,2001,13154,,,,4.634938011,12.67681253,,,,718.4119133,26.72683759,84.88773455,1465.334619,280.4594782,859.1486191,,6.85775739,234.2587535,2351.210076
Taizhou,2001,13155,,,,,,,,,967.5515299,22.80814645,87.84297141,3898.358159,289.5257863,354.4151423,,0.038846759,105.3107543,4275.581448
Suqian,2001,13156,,,,,,,,,431.6598313,42.81350415,213.2720303,6095.043172,400.9893719,296.4977421,,0.832702578,967.0454248,6434.354418
Nanchang,2001,13157,10.04489647,118.6875928,,2.620614578,49.19607125,,,39.96003851,1950.794487,395.5302026,275.5311265,2713.975142,381.8926701,519.819414,,3.280187563,1217.772451,3629.324759
Jingdezhen,2001,13158,129.6524907,1046.061655,,17.26189088,572.1445788,,,1981.949675,948.2909176,35.0360015,,253.0687792,117.7214646,241.7133515,,,13.83698945,529.8181322
